generation,best,average,opening
c_96,7.75|7.7010000000000005|7.7|7.3025|7.25|7.25|6.95|6.9|6.9|6.7,12.528385000000005,2756;7445;7837|2756;8445;8438|2756;8445;8817|2756;8445;8437|2756;8445;8837|2756;8445;8817|2756;8445;8837|2756;8445;8837|2756;8445;8817|2756;8445;8817

0,10.7585,17.70806,8343;7417;3418
5,7.5,12.234479999999994,2356;6846;6634

10,7.8,12.448145000000006,2356;6428;5858
15,7.6,12.149490000000004,2356;2246;8238
20,6.6,13.816614999999995,2756;8446;8638
25,6.35,13.794554999999994,2756;8446;8638
30,7.2,13.492975000000008,2756;6446;8838
35,7.45,14.606745,2756;6446;8838
40,7.45,13.551005,2756;6445;8636
45,6.7,14.353065,2756;6445;8818
60,7.1,13.710465,2756;6445;8817
65,7.0,14.254899999999996,2756;6445;8437
70,6.8,13.634134999999993,2756;6445;8817
85,6.45,13.790585,2756;8445;8817
95,6.4,12.958785000000002,2756;8445;8837
